Unnamed: 0,Date,Bitcoin,Gold,rt_bitcoin,rt_gold,sigma_bitcoin,sigma_gold
3,2016-09-14,608.82,1321.75,-0.00344336,-0.001436456,0.22678393100000002,0.008053412
4,2016-09-15,610.38,1310.8,0.002559057,-0.008318978000000001,0.18653602800000002,0.011401518000000001
5,2016-09-16,609.11,1308.35,-0.002082839,-0.0018708370000000002,0.17466268399999998,0.061045134
6,2016-09-17,607.04,1308.35,-0.003404189,0.0,0.156706061,0.053132230999999995
7,2016-09-18,611.58,1308.35,0.007451086,0.0,0.14305241900000001,0.05014384
8,2016-09-19,610.19,1314.85,-0.0022753879999999997,0.004955789,0.151361363,0.047409965
9,2016-09-20,608.66,1313.8,-0.002510565,-0.0007988889999999999,0.141593429,0.057868351
10,2016-09-21,598.88,1326.1,-0.016198575,0.009318601999999999,0.133522408,0.054134901
11,2016-09-22,597.42,1339.1,-0.002440861,0.009755443,0.150432621,0.07239694299999999
12,2016-09-23,594.08,1338.65,-0.005606393,-0.00033610300000000003,0.143527841,0.082747319
13,2016-09-24,603.88,1338.65,0.016361511999999998,0.0,0.13795368800000002,0.079130076
14,2016-09-25,601.74,1338.65,-0.003550044,0.0,0.166856336,0.07586012
15,2016-09-26,598.98,1340.5,-0.00459725,0.001381035,0.16095211199999998,0.072965343
16,2016-09-27,605.96,1327.0,0.011585769,-0.010121923,0.155926044,0.070358172
17,2016-09-28,605.67,1322.5,-0.000478694,-0.0033968709999999997,0.16415307699999998,0.080607015
18,2016-09-29,603.85,1318.1,-0.0030094609999999997,-0.0033325790000000004,0.159318755,0.07920875
19,2016-09-30,609.39,1322.5,0.009132634,0.0033325790000000004,0.15498142,0.077793726
20,2016-10-01,614.82,1322.5,0.008871085,0.0,0.157573995,0.07673396
21,2016-10-02,612.98,1322.5,-0.0029972329999999998,0.0,0.158997683,0.07468794
22,2016-10-03,611.85,1313.3,-0.001845155,-0.006980831,0.155491978,0.072797318
23,2016-10-04,609.62,1283.3,-0.003651342,-0.023108168,0.151993014,0.074788235
24,2016-10-05,607.18,1269.4,-0.004010525,-0.010890536999999999,0.14909976,0.10485299599999999
25,2016-10-06,612.08,1254.5,0.008037705,-0.011807261000000001,0.14647053,0.10708142400000001
26,2016-10-07,617.21,1258.75,0.00834633,0.0033820779999999997,0.147402456,0.10956031599999999
27,2016-10-08,614.74,1258.75,-0.0040099079999999995,0.0,0.148232901,0.108731904
28,2016-10-09,615.65,1258.75,0.001479206,0.0,0.146088839,0.106788621
29,2016-10-10,617.54,1259.5,0.0030652229999999997,0.000595652,0.143611094,0.104945445
30,2016-10-11,614.77,1253.45,-0.00449563,-0.004815067,0.141610689,0.103300339
31,2016-10-12,635.01,1256.5,0.032392533,0.002430328,0.14000095099999998,0.101894755
32,2016-10-13,635.96,1261.05,0.001494921,0.0036146290000000003,0.176643883,0.100919374
33,2016-10-14,634.02,1251.75,-0.0030551690000000004,-0.007402135,0.17388385,0.10039337400000001
34,2016-10-15,637.94,1251.75,0.006163735,0.0,0.171668026,0.100132944
